Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
444,WP,13180/2019,2019,201919818,,,,,,,,
445,WP,29387/2022,2022,202224684,,,,,,,,
446,WP,226/2021,2021,202121741,,,,,,,,
447,WP,33967/2022,2022,202224795,,,,,,,,
448,WP,18769/2021,2021,202122287,,,,,,,,
449,WP,26101/2023,2023,202328720,,,,,,,,
450,WP,12486/2023,2023,202328112,,,,,,,,
451,WP,12408/2019,2019,201919838,,,,,,,,
452,WP,26557/2023,2023,202328730,,,,,,,,
453,WP,31200/2022,2022,202224734,,,,,,,,
454,WP,27925/2023,2023,202328776,,,,,,,,
455,WP,37771/2018,2018,201919347,,,,,,,,
456,WP,26797/2018,2018,201919253,,,,,,,,
457,WP,17657/2021,2021,202122531,,,,,,,,
458,WP,13980/2021,2021,202122062,,,,,,,,
459,WP,28558/2023,2023,202328815,,,,,,,,
460,WP,15394/2019,2019,201920152,,,,,,,,
461,WP,22228/2018,2018,201919251,,,,,,,,
462,WP,12744/2023,2023,202328116,,,,,,,,
463,WP,31027/2022,2022,202224723,,,,,,,,
464,WP,46518/2022,2022,202225061,,,,,,,,
465,WP,26204/2023,2023,202328715,,,,,,,,
466,WP,28613/2023,2023,202328812,,,,,,,,
467,WP,46476/2022,2022,202225070,,,,,,,,
468,WP,8602/2021,2021,202222789,,,,,,,,
469,WP,32321/2023,2023,202328989,,,,,,,,
470,WP,28716/2023,2023,202328806,,,,,,,,
471,WP,26247/2018,2018,201818911,,,,,,,,
472,WP,13005/2023,2023,202328120,,,,,,,,
473,WP,16373/2021,2021,202222798,,,,,,,,
474,WP,16692/2021,2021,202122174,,,,,,,,
475,WP,28412/2023,2023,202328784,,,,,,,,
476,WP,16174/2019,2019,201919864,,,,,,,,
477,WP,46211/2022,2022,202225065,,,,,,,,
